,name,code,capital,area,population,density,gdp,hdi,JAIR BOLSONARO,LULA,SIMONE TEBET,CIRO GOMES,SORAYA THRONICKE,FELIPE D&apos;AVILA,PADRE KELMON,SOFIA MANZANO,VERA,LÉO PÉRICLES,CONSTITUINTE EYMAEL,abstencoes,brancos,nulos,total_de_votos,perc_bolsonaro,perc_lula,cenario_favoravel_a_lula,cenario_favoravel_a_bolsonaro,cenario_intermediario,votos_validos,name,code,jair,lula,now_total,proporcao_urnas,cenario_atual,jair_projecao,lula_projecao,lula_prop,lula_projecao_otimista,lula_projecao_pessimista,lula_projecao_neutra,lula_projecao_ruidosa
0, Acre,AC,Rio Branco,"164,123","892,000",6.34,"21,000",0.719,275582,129022,20122,12314,2444,825,279,144,77,64,44,131835,4664,10322,455903,0.6250201285049114,0.29262196739976,0.3749798714950886,0.29262196739976,0.3188846378187067,440917, Acre,AC,287638,121496,409134,0.9279161384115377,0.2969589425469406,309982.75392903056,130934.24607096941,0.2969589425469406,133413.98525572842,130796.40398986655,131631.11044379196,130934.24607096941
1, Alagoas,AL,Maceió,"27,779","3,345,000",125.52,"73,000",0.683,621515,974156,67411,43542,10683,2450,3020,494,325,482,139,520520,28792,52962,1805971,0.3604621692049202,0.5649845698076286,0.6395378307950798,0.5649845698076286,0.6104992821201864,1724217, Alagoas,AL,679226,970662,1649888,0.9568911569715413,0.588319934444035,709825.7675927093,1014391.2324072907,0.588319934444035,1018198.2074251674,1012656.7380892312,1016039.8011407112,1014391.2324072906
2, Amapá,AP,Macapá,"142,829","845,000",2.63,9000,0.74,187621,197382,27497,14670,2955,1236,359,130,144,105,62,107323,3289,7392,442842,0.4341460705616656,0.4567325603189552,0.5658539294383343,0.4567325603189552,0.5126765245985097,432161, Amapá,AP,199643,188879,388522,0.8990214295135378,0.4861475025867261,222067.00913461787,210093.99086538213,0.4861475025867261,213572.2996267595,208810.3521997589,211251.69085695437,210093.99086538213
3, Amazonas,AM,Manaus,"1,559,159","4,156,000",2.58,"103,000",0.733,880198,1019684,87060,44527,17002,5212,1373,476,393,484,267,533069,19570,37525,2113771,0.4279711534534365,0.4957922395165792,0.5720288465465635,0.4957922395165792,0.5367091219349412,2056676, Amazonas,AM,959060,995229,1954289,0.9502172437467058,0.5092537490616792,1009306.0363948218,1047369.9636051782,0.5092537490616792,1053797.317511363,1045991.680027384,1050181.0368675527,1047369.9636051782
4, Bahia,BA,Salvador,"564,733","14,942,000",30.52,"257,000",0.714,2047599,5873081,197305,217224,65046,11605,4898,2423,1148,1926,753,2408564,123450,328383,8874841,0.2430959343740383,0.6972664634771806,0.7569040656259617,0.6972664634771806,0.7414869682906013,8423008, Bahia,BA,2336969,6031644,8368613,0.9935420932759413,0.7207459587389212,2352159.0235743965,6070848.976425604,0.7207459587389212,6072815.796649723,6069571.809280841,6071977.183640166,6070848.976425603
5, Ceará,CE,Fortaleza,"148,921","8,870,000",60.33,"157,000",0.735,1377827,3578355,66214,369222,24497,7030,2278,1579,717,1129,416,1190122,72246,127100,5628610,0.2537778601298445,0.6590865723236151,0.7462221398701555,0.6590865723236151,0.7219983043399133,5429264, Ceará,CE,1631398,3793776,5425174,0.9992466750557718,0.6992911195106369,1632627.8993212015,3796636.1006787983,0.6992911195106369,3796828.0485520693,3796471.6640808037,3796728.97306475,3796636.1006787987
6, Distrito Federal,DF,Brasília,"5,780","3,135,000",493.0,"249,000",0.85,910397,649534,105377,74308,7935,10342,1554,894,454,1262,518,387096,25162,32163,1819900,0.516515325588982,0.3685142476206686,0.4834846744110179,0.3685142476206686,0.4163863658072055,1762575, Distrito Federal,DF,1041200,729170,1770370,1.0044225068436805,0.4118743539486096,1036615.5605890295,725959.4394109705,0.4118743539486096,725401.236962966,726297.4314397968,725924.2682785328,725959.4394109705
7, Espírito Santo,ES,Vitória,"46,095","3,982,000",80.63,"125,000",0.772,1160030,897348,85325,56221,9944,8341,1752,683,437,672,377,606490,39541,55218,2315889,0.5222701958012363,0.4040051685403376,0.4777298041987636,0.4040051685403376,0.4361609777104644,2221130, Espírito Santo,ES,1282145,926767,2208912,0.9944991963550085,0.4195581354078388,1289236.838701587,931893.161298413,0.4195581354078388,932603.9027477005,931703.135149226,932096.0148256664,931893.1612984131
8, Goiás,GO,Goiânia,"340,112","7,116,000",18.46,"202,000",0.769,1920203,1454723,170742,90695,28570,11145,2303,1073,498,1120,397,1057695,48539,82589,3812597,0.5215860842506076,0.3951474262040506,0.4784139157493924,0.3951474262040506,0.4310384879549951,3681469, Goiás,GO,2191805,1540847,3732652,1.0139028740972693,0.41280221140358114,2161750.4555862695,1519718.5444137305,0.41280221140358114,1516360.340550199,1520622.1692845982,1518785.1570709995,1519718.5444137305
9, Maranhão,MA,São Luís,"331,937","7,134,000",19.03,"102,000",0.687,983861,2603454,78254,96095,8709,4368,4357,727,799,630,391,1118852,35605,103185,3920435,0.2601674668034678,0.6884448434477588,0.7398325331965322,0.6884448434477588,0.7257388882771655,3781645, Maranhão,MA,1051885,2535407,3587292,0.9486062282419423,0.706774636689737,1108874.2290354394,2672770.7709645606,0.706774636689737,2679195.6723243454,2669208.320658602,2676456.530153332,2672770.77096456
10, Mato Grosso,MT,Cuiabá,"903,366","3,537,000",4.01,"142,000",0.774,1102866,633748,55989,29437,12715,4371,2545,406,250,366,195,577424,18680,30612,1892180,0.5984443981403103,0.3438885054327772,0.4015556018596897,0.3438885054327772,0.364933140006933,1842888, Mato Grosso,MT,1210367,650065,1860432,1.009519840598018,0.3494161571075965,1198953.1570602956,643934.8429397043,0.3494161571075965,643020.1085209736,644031.8200606874,643662.6129917183,643934.8429397043
