name,code,capital,area,population,density,gdp,hdi,JAIR BOLSONARO,LULA,SIMONE TEBET,CIRO GOMES,SORAYA THRONICKE,FELIPE D&apos;AVILA,PADRE KELMON,SOFIA MANZANO,VERA,LÉO PÉRICLES,CONSTITUINTE EYMAEL,abstencoes,brancos,nulos,total_de_votos,perc_bolsonaro,perc_lula,cenario_favoravel_a_lula,cenario_favoravel_a_bolsonaro,cenario_intermediario,votos_validos
 Acre,AC,Rio Branco,"164,123","892,000",6.34,"21,000",0.719,275582,129022,20122,12314,2444,825,279,144,77,64,44,131835,4664,10322,455903,0.6250201285049114,0.29262196739976004,0.3749798714950886,0.29262196739976004,0.3188846378187067,440917
 Alagoas,AL,Maceió,"27,779","3,345,000",125.52,"73,000",0.683,621515,974156,67411,43542,10683,2450,3020,494,325,482,139,520520,28792,52962,1805971,0.36046216920492025,0.5649845698076286,0.6395378307950798,0.5649845698076286,0.6104992821201864,1724217
 Amapá,AP,Macapá,"142,829","845,000",2.63,9000,0.74,187621,197382,27497,14670,2955,1236,359,130,144,105,62,107323,3289,7392,442842,0.43414607056166565,0.4567325603189552,0.5658539294383343,0.4567325603189552,0.5126765245985097,432161
 Amazonas,AM,Manaus,"1,559,159","4,156,000",2.58,"103,000",0.733,880198,1019684,87060,44527,17002,5212,1373,476,393,484,267,533069,19570,37525,2113771,0.4279711534534365,0.4957922395165792,0.5720288465465635,0.4957922395165792,0.5367091219349412,2056676
 Bahia,BA,Salvador,"564,733","14,942,000",30.52,"257,000",0.714,2047599,5873081,197305,217224,65046,11605,4898,2423,1148,1926,753,2408564,123450,328383,8874841,0.24309593437403834,0.6972664634771806,0.7569040656259617,0.6972664634771806,0.7414869682906013,8423008
 Ceará,CE,Fortaleza,"148,921","8,870,000",60.33,"157,000",0.735,1377827,3578355,66214,369222,24497,7030,2278,1579,717,1129,416,1190122,72246,127100,5628610,0.2537778601298445,0.6590865723236151,0.7462221398701555,0.6590865723236151,0.7219983043399133,5429264
 Distrito Federal,DF,Brasília,"5,780","3,135,000",493.0,"249,000",0.85,910397,649534,105377,74308,7935,10342,1554,894,454,1262,518,387096,25162,32163,1819900,0.516515325588982,0.36851424762066864,0.48348467441101795,0.36851424762066864,0.41638636580720556,1762575
 Espírito Santo,ES,Vitória,"46,095","3,982,000",80.63,"125,000",0.772,1160030,897348,85325,56221,9944,8341,1752,683,437,672,377,606490,39541,55218,2315889,0.5222701958012363,0.4040051685403376,0.47772980419876365,0.4040051685403376,0.4361609777104644,2221130
 Goiás,GO,Goiânia,"340,112","7,116,000",18.46,"202,000",0.769,1920203,1454723,170742,90695,28570,11145,2303,1073,498,1120,397,1057695,48539,82589,3812597,0.5215860842506076,0.39514742620405063,0.4784139157493924,0.39514742620405063,0.43103848795499516,3681469
 Maranhão,MA,São Luís,"331,937","7,134,000",19.03,"102,000",0.687,983861,2603454,78254,96095,8709,4368,4357,727,799,630,391,1118852,35605,103185,3920435,0.2601674668034678,0.6884448434477588,0.7398325331965322,0.6884448434477588,0.7257388882771655,3781645
